model_name,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,high_recall
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,0.9996693121693122,0.9996769337162904,0.9996701352909104,0.9996734908781216,0.999669311325822,0.9994783515910276
Logistic Regression,0.986441798941799,0.9870528359142839,0.9862943380512913,0.9866234900230139,0.9864644751728688,0.9801773604590506
