model_name,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,high_recall
Logistic Regression,0.999000499750125,0.9990012478790545,0.999000499750125,0.9990004994692963,0.9990004994692963,1.0
Random Forest,0.9945027486256871,0.9945388086979224,0.9945027486256871,0.9945026346032161,0.9945026346032161,1.0
Decision Tree,0.992503748125937,0.9925082324062475,0.992503748125937,0.992505618445108,0.9925056184451079,0.992503748125937
