flow_type,scenario_type,viewport_type,network_condition,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,page_load_time_ms,dom_content_loaded_ms,time_to_first_byte_ms,feedback_delay_ms,interaction_to_next_paint_ms,cumulative_layout_shift,error_message_present,error_message_clarity,popup_detected,cookie_banner_detected,overlay_blocks_cta,friction_score,friction_level,expected_friction_level,label_mismatch,route,seed,run_id
landing_navigation,normal_landing,desktop,fast,1,0,0.932,1,0,0,0,0,0,0,0,79,79,43,103,73,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_22_1782664419159_pc9iu3_22,landing_good_desktop_fast_22_1782664419159_pc9iu3
landing_navigation,normal_landing,desktop,fast,1,0,1.05,1,0,0,0,0,0,0,0,88,87,76,90,66,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_23_1782664420241_cj5k5p_23,landing_good_desktop_fast_23_1782664420241_cj5k5p
landing_navigation,normal_landing,desktop,fast,1,0,1.006,1,0,0,0,0,0,0,0,61,60,49,123,77,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_24_1782664421421_4ajuav_24,landing_good_desktop_fast_24_1782664421421_4ajuav
landing_navigation,normal_landing,desktop,fast,1,0,1.118,1,0,0,0,0,0,0,0,101,101,68,103,76,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_25_1782664422583_dxo5c2_25,landing_good_desktop_fast_25_1782664422583_dxo5c2
landing_navigation,normal_landing,desktop,fast,1,0,1.078,1,0,0,0,0,0,0,0,43,43,32,105,74,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_26_1782664423829_n5p5lz_26,landing_good_desktop_fast_26_1782664423829_n5p5lz
landing_navigation,normal_landing,desktop,fast,1,0,1.091,1,0,0,0,0,0,0,0,53,53,42,97,72,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_27_1782664425032_l87oxp_27,landing_good_desktop_fast_27_1782664425032_l87oxp
landing_navigation,normal_landing,desktop,fast,1,0,0.99,1,0,0,0,0,0,0,0,69,69,58,86,62,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_28_1782664426234_vteifi_28,landing_good_desktop_fast_28_1782664426234_vteifi
landing_navigation,normal_landing,desktop,fast,1,0,0.987,1,0,0,0,0,0,0,0,48,48,38,119,93,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_29_1782664427340_b9tlfh_29,landing_good_desktop_fast_29_1782664427340_b9tlfh
landing_navigation,normal_landing,desktop,fast,1,0,0.988,1,0,0,0,0,0,0,0,72,72,40,95,71,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_30_1782664428444_jsbbgj_30,landing_good_desktop_fast_30_1782664428444_jsbbgj
landing_navigation,normal_landing,desktop,fast,1,0,0.953,1,0,0,0,0,0,0,0,76,76,42,88,65,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_31_1782664429546_xvdlmt_31,landing_good_desktop_fast_31_1782664429546_xvdlmt
landing_navigation,normal_landing,desktop,fast,1,0,0.907,1,0,0,0,0,0,0,0,86,86,49,89,65,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_32_1782664430617_ibjwa9_32,landing_good_desktop_fast_32_1782664430617_ibjwa9
landing_navigation,normal_landing,desktop,fast,1,0,0.957,1,0,0,0,0,0,0,0,67,66,57,95,70,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_33_1782664431642_osa3p1_33,landing_good_desktop_fast_33_1782664431642_osa3p1
landing_navigation,normal_landing,desktop,fast,1,0,0.926,1,0,0,0,0,0,0,0,72,72,40,109,79,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_34_1782664432712_8qua0v_34,landing_good_desktop_fast_34_1782664432712_8qua0v
landing_navigation,normal_landing,desktop,fast,1,0,0.996,1,0,0,0,0,0,0,0,47,46,36,108,81,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_35_1782664433754_8d9i3w_35,landing_good_desktop_fast_35_1782664433754_8d9i3w
landing_navigation,normal_landing,desktop,fast,1,0,1.101,1,0,0,0,0,0,0,0,103,103,72,91,66,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_36_1782664434864_b1dwqa_36,landing_good_desktop_fast_36_1782664434864_b1dwqa
landing_navigation,normal_landing,desktop,fast,1,0,0.996,1,0,0,0,0,0,0,0,61,61,51,98,74,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_37_1782664436081_iqytt2_37,landing_good_desktop_fast_37_1782664436081_iqytt2
landing_navigation,normal_landing,desktop,fast,1,0,0.939,1,0,0,0,0,0,0,0,61,60,50,94,69,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_38_1782664437193_l69fhr_38,landing_good_desktop_fast_38_1782664437193_l69fhr
landing_navigation,normal_landing,desktop,fast,1,0,0.992,1,0,0,0,0,0,0,0,106,106,73,89,63,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_39_1782664438246_134zmj_39,landing_good_desktop_fast_39_1782664438246_134zmj
landing_navigation,normal_landing,desktop,fast,1,0,1.13,1,0,0,0,0,0,0,0,142,142,92,86,62,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_40_1782664439350_kpsf56_40,landing_good_desktop_fast_40_1782664439350_kpsf56
landing_navigation,normal_landing,desktop,fast,1,0,1.132,1,0,0,0,0,0,0,0,95,95,85,99,73,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_41_1782664440591_f9xxuz_41,landing_good_desktop_fast_41_1782664440591_f9xxuz
landing_navigation,normal_landing,desktop,fast,1,0,1.013,1,0,0,0,0,0,0,0,92,91,81,96,70,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_42_1782664441840_wb5nfu_42,landing_good_desktop_fast_42_1782664441840_wb5nfu
landing_navigation,normal_landing,desktop,fast,1,0,1.12,1,0,0,0,0,0,0,0,55,55,46,107,82,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_43_1782664442977_zt6w53_43,landing_good_desktop_fast_43_1782664442977_zt6w53
landing_navigation,normal_landing,desktop,fast,1,0,1.015,1,0,0,0,0,0,0,0,95,95,57,99,74,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_44_1782664444208_x1u9m0_44,landing_good_desktop_fast_44_1782664444208_x1u9m0
landing_navigation,normal_landing,desktop,fast,1,0,0.895,1,0,0,0,0,0,0,0,42,41,30,68,44,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_45_1782664445343_4sf12k_45,landing_good_desktop_fast_45_1782664445343_4sf12k
landing_navigation,normal_landing,desktop,fast,1,0,0.943,1,0,0,0,0,0,0,0,66,66,56,86,61,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_46_1782664446351_0avuva_46,landing_good_desktop_fast_46_1782664446351_0avuva
landing_navigation,normal_landing,desktop,fast,1,0,0.97,1,0,0,0,0,0,0,0,96,95,64,94,67,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_47_1782664447404_85uhce_47,landing_good_desktop_fast_47_1782664447404_85uhce
landing_navigation,normal_landing,desktop,fast,1,0,1.137,1,0,0,0,0,0,0,0,99,98,89,96,72,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_48_1782664448487_eit6vr_48,landing_good_desktop_fast_48_1782664448487_eit6vr
landing_navigation,normal_landing,desktop,fast,1,0,1.064,1,0,0,0,0,0,0,0,77,77,67,85,61,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_49_1782664449757_jq0wts_49,landing_good_desktop_fast_49_1782664449757_jq0wts
landing_navigation,normal_landing,desktop,fast,1,0,0.987,1,0,0,0,0,0,0,0,52,51,42,91,66,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_50_1782664450932_jjiofh_50,landing_good_desktop_fast_50_1782664450932_jjiofh
landing_navigation,normal_landing,desktop,fast,1,0,0.918,1,0,0,0,0,0,0,0,72,72,60,87,63,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_51_1782664452042_exw853_51,landing_good_desktop_fast_51_1782664452042_exw853
landing_navigation,normal_landing,desktop,fast,1,0,0.945,1,0,0,0,0,0,0,0,77,77,42,96,72,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_52_1782664453074_ddcykf_52,landing_good_desktop_fast_52_1782664453074_ddcykf
landing_navigation,normal_landing,desktop,fast,1,0,1.036,1,0,0,0,0,0,0,0,40,39,28,99,74,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_53_1782664454131_wlkwmc_53,landing_good_desktop_fast_53_1782664454131_wlkwmc
landing_navigation,normal_landing,desktop,fast,1,0,1.032,1,0,0,0,0,0,0,0,106,106,70,93,68,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_54_1782664455282_6rsb20_54,landing_good_desktop_fast_54_1782664455282_6rsb20
landing_navigation,normal_landing,desktop,fast,1,0,0.947,1,0,0,0,0,0,0,0,76,76,41,106,81,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_55_1782664456427_nx1mb8_55,landing_good_desktop_fast_55_1782664456427_nx1mb8
landing_navigation,normal_landing,desktop,fast,1,0,1.017,1,0,0,0,0,0,0,0,94,94,84,85,62,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_56_1782664457490_37wbir_56,landing_good_desktop_fast_56_1782664457490_37wbir
landing_navigation,normal_landing,desktop,fast,1,0,1.111,1,0,0,0,0,0,0,0,74,74,62,99,73,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_57_1782664458630_z4y9o4_57,landing_good_desktop_fast_57_1782664458630_z4y9o4
landing_navigation,normal_landing,desktop,fast,1,0,1.084,1,0,0,0,0,0,0,0,97,97,87,91,65,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_58_1782664459858_u74540_58,landing_good_desktop_fast_58_1782664459858_u74540
landing_navigation,normal_landing,desktop,fast,1,0,1.012,1,0,0,0,0,0,0,0,56,55,46,94,71,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_59_1782664461067_oijvjv_59,landing_good_desktop_fast_59_1782664461067_oijvjv
landing_navigation,normal_landing,desktop,fast,1,0,1.08,1,0,0,0,0,0,0,0,115,115,79,93,68,0,0,-1,0,0,0,0,Low,Low,0,/landing-good,landing_good_desktop_fast_60_1782664462189_rarja4_60,landing_good_desktop_fast_60_1782664462189_rarja4
