flow_type,scenario_type,viewport_type,network_condition,task_completed,task_failed,completion_time,click_count,scroll_count,keyboard_count,retry_count,error_count,failed_clicks,unnecessary_clicks,path_deviation_score,page_load_time_ms,dom_content_loaded_ms,time_to_first_byte_ms,feedback_delay_ms,interaction_to_next_paint_ms,cumulative_layout_shift,error_message_present,error_message_clarity,popup_detected,cookie_banner_detected,overlay_blocks_cta,friction_score,friction_level
landing_navigation,normal_landing,desktop,fast,1,0,1.013,1,0,0,0,0,0,0,0,92,91,81,96,70,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.12,1,0,0,0,0,0,0,0,55,55,46,107,82,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.015,1,0,0,0,0,0,0,0,95,95,57,99,74,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.895,1,0,0,0,0,0,0,0,42,41,30,68,44,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.943,1,0,0,0,0,0,0,0,66,66,56,86,61,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.97,1,0,0,0,0,0,0,0,96,95,64,94,67,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.137,1,0,0,0,0,0,0,0,99,98,89,96,72,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.064,1,0,0,0,0,0,0,0,77,77,67,85,61,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.987,1,0,0,0,0,0,0,0,52,51,42,91,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.918,1,0,0,0,0,0,0,0,72,72,60,87,63,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.945,1,0,0,0,0,0,0,0,77,77,42,96,72,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.036,1,0,0,0,0,0,0,0,40,39,28,99,74,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.032,1,0,0,0,0,0,0,0,106,106,70,93,68,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.947,1,0,0,0,0,0,0,0,76,76,41,106,81,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.017,1,0,0,0,0,0,0,0,94,94,84,85,62,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.111,1,0,0,0,0,0,0,0,74,74,62,99,73,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.084,1,0,0,0,0,0,0,0,97,97,87,91,65,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.012,1,0,0,0,0,0,0,0,56,55,46,94,71,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.08,1,0,0,0,0,0,0,0,115,115,79,93,68,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.034,1,0,0,0,0,0,0,0,83,83,74,117,92,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.112,1,0,0,0,0,0,0,0,73,73,63,98,73,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.965,1,0,0,0,0,0,0,0,37,36,24,93,68,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.084,1,0,0,0,0,0,0,0,77,77,67,101,76,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.981,1,0,0,0,0,0,0,0,69,69,33,93,66,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,1.052,1,0,0,0,0,0,0,0,64,63,52,70,46,0,0,-1,0,0,0,0,Low
landing_navigation,normal_landing,desktop,fast,1,0,0.919,1,0,0,0,0,0,0,0,62,62,52,84,61,0,0,-1,0,0,0,0,Low
